Taxon_Name,Result_Value,Result_UOM,Fish_Total_Len_Value,Fish_Len_UOM1,Gear_Used,Pass_Count,Total_Energy,Total_Energy_UOM,Results_Comment,Origin,Flow_Guild,IsStocked,Reach_Length,Reach_Length_UOM,Width_Length,Width_Length_UOM,Lab_Accession,Field_Accession,Activity_Type,Activity_Name,Field_Activity_Date,Field_Activity_Time,STA_SEQ,Station_Name,Project_Name,Trip_Name,Location,State_Name,Municipality_Name,ADB_SegmentID,SubBasin,Station_Long,Station_Lat,Station_Type,Org_Name
Ambloplites rupestris,1,count,13,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,14,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,15,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,16,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,3,count,12,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,10,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,11,cm,1 S-S,1,1260,Sec,,Introduced,Macrohabitat Generalist,False,150,m,7.5,m,2014052_lf,2014052_FISH,Sample-Routine,All species single pass,7/11/2014,8:00:00 AM,15550,Hockanum River,,2014 ABM Fish Community 07112014,upstream 200 meters from dart hill road,Connecticut,VERNON,CT4500-00_05,4500 - Hockanum River - Hockanum - Connecticut,-72.4876,41.8514,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,14,cm,2x S-R,1,2345,Sec,,Introduced,Macrohabitat Generalist,False,145,m,10.7,m,2014063_lf,2014063_FISH,Sample-Routine,All species single pass,7/18/2014,11:55:00 AM,14602,Merrick Brook,,2014 ABM Fish Community 07182014,at Station Road,Connecticut,SCOTLAND,CT3803-00_01,3803 - Merrick Brook - Shetucket - Thames,-72.1101,41.661,River/Stream,CT DEEP WPLR biological monitoring
Ambloplites rupestris,1,count,9,cm,2x S-R,1,2613,Sec,Margin Method,Introduced,Macrohabitat Generalist,False,158,m,31.5,m,2014078_lf,2014078_FISH,Sample-Routine,All species single pass,8/7/2014,8:45:00 AM,14451,Shetucket River,,2014 ABM Fish Community 08072014,downstream Plains Road adjacent to USGS gauge,Connecticut,WINDHAM,CT3800-00_05,3800 - Shetucket River - Shetucket - Thames,-72.1823,41.7002,River/Stream,CT DEEP WPLR biological monitoring
Ameiurus natalis,1,count,13,cm,1 IFD SS,1,2280,Sec,,Introduced,Macrohabitat Generalist,False,183,m,12,m,2014011_lf,2014011_FISH,Sample-Routine,All species single pass,6/12/2014,12:10:00 PM,14592,Fenton River,,2014 ABM Fish Community 06122014,downstream 250 m Chaffeeville Road crossing,Connecticut,MANSFIELD,CT3207-00_01a,3207 - Fenton River - Natchaug - Thames,-72.21,41.7925,River/Stream,CT DEEP WPLR biological monitoring
