taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Acipenser brevirostrum,Shortnose Sturgeon,Acipenser brevirostrum,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,ACIPENSER,,,,,
Acipenser oxyrhynchus,Atlantic sturgeon,Acipenser oxyrhynchus,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,ACIPENSER,,,,,
Alosa aestivalis,Blueback Herring,Alosa aestivalis,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa mediocris,Hickory Shad,Alosa mediocris,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa pseudoharengus,Alewife,Alosa pseudoharengus,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa sapidissima,American Shad,Alosa sapidissima,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Aluterus schoepfi,ORANGE FILEFISH,Aluterus schoepfi,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,ALUTERUS,,,,,
Ambloplites rupestris,Rock Bass,Ambloplites rupestris,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,AMBLOPLITES,C-W,TC,M,MG,A
Ameiurus catus,White catfish,Ameiurus catus,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W,TC,M,MG,A
Ameiurus melas,Black Bullhead,Ameiurus melas,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,,,,,
Ameiurus natalis,Yellow bullhead,Ameiurus natalis,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W-B,GF,T,MG,A
Ameiurus nebulosus,Brown bullhead,Ameiurus nebulosus,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W,GF,T,MG,N
Amia calva,Bowfin,Amia calva,CHORDATA,ACTINOPTERYGII,AMIIFORMES,AMIIDAE,AMIA,,,,,
Ammodytes americanus,American sand lance,Ammodytes americanus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,AMMODYTIDAE,AMMODYTES,,,,,
Anchoa mitchilli,Bay Anchovy,Anchoa mitchilli,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,ENGRAULIDAE,ANCHOA,,,,,
Anguilla rostrata,American eel,Anguilla rostrata,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,ANGUILLIDAE,ANGUILLA,W,TC,T,FD,N
Apeltes quadracus,Fourspine stickleback,Apeltes quadracus,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,GASTEROSTEIDAE,APELTES,C-W,WC,M,FD,N
Astroscopus guttatus,NORTHERN STARGAZER,Astroscopus guttatus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,URANOSCOPIDAE,ASTROSCOPUS,,,,,
